url,title,price,make,model,year,mileage_km,gear,fuel_type,engine_cc,condition,location,ad_date,scraped_at
https://riyasewana.com/buy/nissan-n16-sunny-sale-mirigama-11600693,Nissan N16 Sunny 2002 Car (Used),3800000,Nissan,N16 Sunny,2002,200000,Automatic,Petrol,1600,Used,Mirigama,"2026 May 08, 9:33 am",2026-05-09 07:08:00
https://riyasewana.com/buy/nissan-dayz-sale-kelaniya-11597295,Nissan Dayz 2018 Car (Used),6300000,Nissan,Dayz,2018,29500,Automatic,Petrol,660,Used,Kelaniya,"2026 May 07, 2:37 pm",2026-05-09 07:08:00
https://riyasewana.com/buy/toyota-premio-sale-kurunegala-11587040,Toyota Premio 2018 Car (Used),15600000,Toyota,Premio,2018,60000,Automatic,Petrol,1450,Used,Kurunegala,"2026 May 05, 3:33 pm",2026-05-09 07:08:00
https://riyasewana.com/buy/toyota-toyota-vitz-sale-gampaha-11605257,Toyota Toyota Vitz Edition 2 2018 Car (Used),8350000,Toyota,Toyota Vitz Edition 2,2018,83000,Automatic,Petrol,1000,Used,Gampaha,"2026 May 09, 6:24 am",2026-05-09 07:08:00
https://riyasewana.com/buy/tata-indika-sale-kotte-11605254,Tata Indika 2004 Car (Used),1550000,Tata,Indika,2004,172000,Manual,Petrol,1400,Used,Kotte,"2026 May 09, 6:23 am",2026-05-09 07:08:00
https://riyasewana.com/buy/kia-sephia-sale-moratuwa-11605248,Kia Sephia 2000 Car (Used),2175000,Kia,Sephia,2000,145000,Automatic,Petrol,1500,Used,Moratuwa,"2026 May 09, 6:22 am",2026-05-09 07:08:00
https://riyasewana.com/buy/daewoo-matiz-sale-kelaniya-11605242,Daewoo Matiz 2001 Car (Used),1540000,Daewoo,Matiz,2001,250,Automatic,Petrol,790,Used,Kelaniya,"2026 May 09, 6:19 am",2026-05-09 07:08:00
https://riyasewana.com/buy/toyota-prius-sale-matara-11605234,Toyota Prius 2010 Car (Used),8975000,Toyota,Prius,2010,170000,Automatic,Hybrid,1800,Used,Matara,"2026 May 09, 6:18 am",2026-05-09 07:08:00
https://riyasewana.com/buy/toyota-axio-sale-negombo-11605231,Toyota Axio 2007 Car (Used),6900000,Toyota,Axio,2007,214500,Automatic,Petrol,1500,Used,Negombo,"2026 May 09, 6:17 am",2026-05-09 07:08:00
https://riyasewana.com/buy/nissan-tiida-sale-gampaha-11605226,Nissan Tiida 2010 Car (Used),5100000,Nissan,Tiida,2010,1,Automatic,Petrol,1490,Used,Gampaha,"2026 May 09, 6:17 am",2026-05-09 07:08:00
https://riyasewana.com/buy/toyota-belta-sale-gampaha-11605225,Toyota Belta 2011 Car (Used),5750000,Toyota,Belta,2011,171000,Automatic,Petrol,1000,Used,Gampaha,"2026 May 09, 6:17 am",2026-05-09 07:08:00
https://riyasewana.com/buy/honda-grace-ex-sale-ratnapura-11605222,Honda Grace Ex 2015 Car (Used),8950000,Honda,Grace Ex,2015,86000,Automatic,Hybrid,1500,Used,Ratnapura,"2026 May 09, 6:15 am",2026-05-09 07:08:00
https://riyasewana.com/buy/nissan-bluebird-sale-piliyandala-11605212,Nissan Bluebird 1999 Car (Used),3165000,Nissan,Bluebird,1999,199765,Manual,Diesel,2000,Used,Piliyandala,"2026 May 09, 6:11 am",2026-05-09 07:08:00
