url,Title,Price,LOCATION,YEAR,MILEAGE,MAKE,MODEL,GEAR,FUEL TYPE,ENGINE (CC),CONDITION,AD DATE
https://riyasewana.com/buy/toyota-axio-sale-malabe-11602835,Toyota Axio 2014 Car (Used),"Rs. 8,800,000",Malabe,2014,"165,000 km",Toyota,Axio,Automatic,Hybrid,1500,Registered (Used),"2026 May 08, 3:41 pm"
https://riyasewana.com/buy/mercedes-benz-e300-sale-embilipitiya-11596808,Mercedes-Benz E300 2014 Car (Used),"Rs. 16,500,000",Embilipitiya,2014,"136,000 km",Mercedes-Benz,E300,Automatic,Diesel,2200,Registered (Used),"2026 May 07, 12:57 pm"
https://riyasewana.com/buy/toyota-premio-sale-kurunegala-11587040,Toyota Premio 2018 Car (Used),"Rs. 15,600,000",Kurunegala,2018,"60,000 km",Toyota,Premio,Automatic,Petrol,1450,Registered (Used),"2026 May 05, 3:33 pm"
https://riyasewana.com/buy/nissan-roox-sale-gampaha-11562860,Nissan Roox 2023 Car Unregistered (Recondition),Negotiable,Gampaha,2023,62 km,Nissan,Roox,Automatic,Hybrid,660,Unregistered (Recondition),"2026 May 01, 8:10 am"
https://riyasewana.com/buy/toyota-corolla-sale-kurunegala-11605114,Toyota Corolla 1992 Car (Used),"Rs. 2,285,000",Kurunegala,1992,"118,890 km",Toyota,Corolla,Manual,Petrol,1300,Registered (Used),"2026 May 09, 2:41 am"
https://riyasewana.com/buy/nissan-super-saloon-sale-moratuwa-11605110,Nissan Super Saloon 2008 Car (Used),"Rs. 525,000",Moratuwa,2008,"188,000 km",Nissan,Super Saloon,Automatic,Petrol,1597,Registered (Used),"2026 May 09, 2:28 am"
https://riyasewana.com/buy/toyota-aqua-sale-kadawatha-11605105,Toyota Aqua 2013 Car (Used),"Rs. 7,650,000",Kadawatha,2013,"130,000 km",Toyota,Aqua,Automatic,Hybrid,1500,Registered (Used),"2026 May 09, 2:15 am"
https://riyasewana.com/buy/suzuki-alto-lxi-sale-kalutara-11605104,Suzuki Alto Lxi 2015 Car (Used),"Rs. 3,875,000",Kalutara,2015,"114,250 km",Suzuki,Alto Lxi,Manual,Petrol,800,Registered (Used),"2026 May 09, 2:14 am"
https://riyasewana.com/buy/toyota-ist-sale-pannipitiya-11605103,Toyota IST 2003 Car (Used),"Rs. 4,900,000",Pannipitiya,2003,"143,000 km",Toyota,IST,Automatic,Petrol,1300,Registered (Used),"2026 May 09, 2:11 am"
https://riyasewana.com/buy/nissan-b210-sale-piliyandala-11605100,Nissan B210 1975 Car (Used),"Rs. 800,000",Piliyandala,1975,"1,234 km",Nissan,B210,Manual,Petrol,1200,Registered (Used),"2026 May 09, 1:56 am"
https://riyasewana.com/buy/toyota-aqua-prius-sale-warakapola-11605095,Toyota Aqua Prius C 2014 Car (Used),Negotiable,Warakapola,2014,1 km,Toyota,Aqua Prius C,Automatic,Hybrid,1500,Registered (Used),"2026 May 09, 1:42 am"
https://riyasewana.com/buy/toyota-corolla-dx-sale-homagama-11605094,Toyota Corolla Dx Wagon Ke72 1984 Car (Used),"Rs. 825,000",Homagama,1984,10 km,Toyota,Corolla Dx Wagon Ke72,Manual,Petrol,1300,Registered (Used),"2026 May 09, 1:34 am"
https://riyasewana.com/buy/suzuki-wagon-r-sale-nittambuwa-11605092,Suzuki Wagon R Stingray 2015 Car (Used),"Rs. 5,690,000",Nittambuwa,2015,"132,000 km",Suzuki,Wagon R Stingray,Automatic,Petrol,660,Registered (Used),"2026 May 09, 1:24 am"
https://riyasewana.com/buy/suzuki-wagon-r-sale-dehiwala-mount-lavinia-11605087,Suzuki Wagon R FZ 2018 Car (Used),"Rs. 6,525,000",Dehiwala-Mount-Lavinia,2018,"98,000 km",Suzuki,Wagon R FZ,Automatic,Petrol,650,Registered (Used),"2026 May 09, 1:13 am"
